model,criterion,max_depth,min_samples_split,max_features,learning_rate,n_estimators,n_neighbors,metric,solver,penalty,C,max_iter,kernel,train_accuracy,train_f1,test_accuracy,test_f1,duration

NaiveBayes,0,0,0,0,0,0,0,0,0,0,0,0,0,0.981,0.981,0.95,0.948,0.00201

K Nearest Neighbors,0,0,0,0,0,0,5,minkowski,0,0,0,0,0,0.975,0.975,0.95,0.948,0.00753

K Nearest Neighbors,0,0,0,0,0,0,5,euclidean,0,0,0,0,0,0.981,0.981,0.975,0.974,0.00101

K Nearest Neighbors,0,0,0,0,0,0,5,manhattan,0,0,0,0,0,0.981,0.981,0.975,0.975,0.001

K Nearest Neighbors,0,0,0,0,0,0,5,chebyshev,0,0,0,0,0,0.975,0.975,0.975,0.975,0.001

K Nearest Neighbors,0,0,0,0,0,0,6,minkowski,0,0,0,0,0,0.975,0.975,1.0,1.0,0.001

K Nearest Neighbors,0,0,0,0,0,0,6,euclidean,0,0,0,0,0,0.975,0.975,0.975,0.975,0.001

K Nearest Neighbors,0,0,0,0,0,0,6,manhattan,0,0,0,0,0,0.988,0.987,1.0,1.0,0.00253

K Nearest Neighbors,0,0,0,0,0,0,6,chebyshev,0,0,0,0,0,0.975,0.975,0.975,0.975,0.00156

K Nearest Neighbors,0,0,0,0,0,0,7,minkowski,0,0,0,0,0,0.975,0.975,1.0,1.0,0.001

K Nearest Neighbors,0,0,0,0,0,0,7,euclidean,0,0,0,0,0,0.962,0.962,0.975,0.974,0.00104

K Nearest Neighbors,0,0,0,0,0,0,7,manhattan,0,0,0,0,0,0.969,0.969,0.975,0.976,0.0015

K Nearest Neighbors,0,0,0,0,0,0,7,chebyshev,0,0,0,0,0,0.975,0.975,0.95,0.95,0.00199

K Nearest Neighbors,0,0,0,0,0,0,8,minkowski,0,0,0,0,0,0.962,0.962,0.975,0.975,0.00159

K Nearest Neighbors,0,0,0,0,0,0,8,euclidean,0,0,0,0,0,0.975,0.975,0.95,0.95,0.00104

K Nearest Neighbors,0,0,0,0,0,0,8,manhattan,0,0,0,0,0,0.975,0.975,0.975,0.976,0.00199

K Nearest Neighbors,0,0,0,0,0,0,8,chebyshev,0,0,0,0,0,0.969,0.968,1.0,1.0,0.00199

K Nearest Neighbors,0,0,0,0,0,0,9,minkowski,0,0,0,0,0,0.975,0.975,0.925,0.922,0.00104

K Nearest Neighbors,0,0,0,0,0,0,9,euclidean,0,0,0,0,0,0.962,0.961,0.925,0.922,0.00104

K Nearest Neighbors,0,0,0,0,0,0,9,manhattan,0,0,0,0,0,0.988,0.987,0.9,0.897,0.001

K Nearest Neighbors,0,0,0,0,0,0,9,chebyshev,0,0,0,0,0,0.962,0.962,1.0,1.0,0.001

K Nearest Neighbors,0,0,0,0,0,0,10,minkowski,0,0,0,0,0,0.962,0.962,1.0,1.0,0.001

K Nearest Neighbors,0,0,0,0,0,0,10,euclidean,0,0,0,0,0,0.981,0.981,0.925,0.918,0.001

K Nearest Neighbors,0,0,0,0,0,0,10,manhattan,0,0,0,0,0,0.975,0.975,0.975,0.975,0.001

K Nearest Neighbors,0,0,0,0,0,0,10,chebyshev,0,0,0,0,0,0.975,0.974,0.95,0.95,0.001

K Nearest Neighbors,0,0,0,0,0,0,11,minkowski,0,0,0,0,0,0.975,0.975,0.925,0.92,0.002

K Nearest Neighbors,0,0,0,0,0,0,11,euclidean,0,0,0,0,0,0.975,0.974,0.925,0.922,0.0015

