model,criterion,max_depth,min_samples_split,max_features,learning_rate,n_estimators,n_neighbors,metric,solver,penalty,C,max_iter,kernel,train_accuracy,train_f1,test_accuracy,test_f1,duration
NaiveBayes,0,0,0,0,0,0,0,0,0,0,0,0,0,0.979,0.979,0.968,0.968,0.00702
K Nearest Neighbors,0,0,0,0,0,0,5,minkowski,0,0,0,0,0,0.965,0.964,0.955,0.955,0.002
K Nearest Neighbors,0,0,0,0,0,0,5,euclidean,0,0,0,0,0,0.963,0.963,0.968,0.968,0.00299
K Nearest Neighbors,0,0,0,0,0,0,5,manhattan,0,0,0,0,0,0.965,0.964,0.974,0.974,0.00301
K Nearest Neighbors,0,0,0,0,0,0,5,chebyshev,0,0,0,0,0,0.965,0.964,0.981,0.981,0.00196
K Nearest Neighbors,0,0,0,0,0,0,6,minkowski,0,0,0,0,0,0.956,0.956,0.955,0.955,0.002
K Nearest Neighbors,0,0,0,0,0,0,6,euclidean,0,0,0,0,0,0.958,0.958,0.949,0.948,0.002
K Nearest Neighbors,0,0,0,0,0,0,6,manhattan,0,0,0,0,0,0.96,0.959,0.962,0.961,0.002
K Nearest Neighbors,0,0,0,0,0,0,6,chebyshev,0,0,0,0,0,0.953,0.953,0.891,0.888,0.001
K Nearest Neighbors,0,0,0,0,0,0,7,minkowski,0,0,0,0,0,0.953,0.953,0.955,0.955,0.00202
K Nearest Neighbors,0,0,0,0,0,0,7,euclidean,0,0,0,0,0,0.965,0.964,0.942,0.941,0.003
K Nearest Neighbors,0,0,0,0,0,0,7,manhattan,0,0,0,0,0,0.968,0.968,0.949,0.948,0.00299
K Nearest Neighbors,0,0,0,0,0,0,7,chebyshev,0,0,0,0,0,0.956,0.956,0.923,0.923,0.001
K Nearest Neighbors,0,0,0,0,0,0,8,minkowski,0,0,0,0,0,0.953,0.953,0.949,0.948,0.002
K Nearest Neighbors,0,0,0,0,0,0,8,euclidean,0,0,0,0,0,0.95,0.95,0.955,0.955,0.002
K Nearest Neighbors,0,0,0,0,0,0,8,manhattan,0,0,0,0,0,0.955,0.954,0.974,0.974,0.002
K Nearest Neighbors,0,0,0,0,0,0,8,chebyshev,0,0,0,0,0,0.952,0.951,0.872,0.869,0.001
K Nearest Neighbors,0,0,0,0,0,0,9,minkowski,0,0,0,0,0,0.958,0.958,0.974,0.974,0.002
K Nearest Neighbors,0,0,0,0,0,0,9,euclidean,0,0,0,0,0,0.961,0.961,0.942,0.941,0.002
K Nearest Neighbors,0,0,0,0,0,0,9,manhattan,0,0,0,0,0,0.958,0.958,0.968,0.968,0.001
K Nearest Neighbors,0,0,0,0,0,0,9,chebyshev,0,0,0,0,0,0.95,0.95,0.955,0.955,0.001
K Nearest Neighbors,0,0,0,0,0,0,10,minkowski,0,0,0,0,0,0.947,0.946,0.962,0.961,0.002
K Nearest Neighbors,0,0,0,0,0,0,10,euclidean,0,0,0,0,0,0.939,0.938,0.923,0.922,0.002
K Nearest Neighbors,0,0,0,0,0,0,10,manhattan,0,0,0,0,0,0.961,0.961,0.923,0.922,0.00299
K Nearest Neighbors,0,0,0,0,0,0,10,chebyshev,0,0,0,0,0,0.942,0.941,0.949,0.948,0.002
K Nearest Neighbors,0,0,0,0,0,0,11,minkowski,0,0,0,0,0,0.947,0.946,0.955,0.955,0.00104
K Nearest Neighbors,0,0,0,0,0,0,11,euclidean,0,0,0,0,0,0.956,0.956,0.949,0.948,0.001
K Nearest Neighbors,0,0,0,0,0,0,11,manhattan,0,0,0,0,0,0.958,0.958,0.936,0.935,0.00104
K Nearest Neighbors,0,0,0,0,0,0,11,chebyshev,0,0,0,0,0,0.945,0.945,0.955,0.955,0.004
K Nearest Neighbors,0,0,0,0,0,0,12,minkowski,0,0,0,0,0,0.94,0.939,0.968,0.968,0.00203
K Nearest Neighbors,0,0,0,0,0,0,12,euclidean,0,0,0,0,0,0.944,0.943,0.968,0.968,0.001
K Nearest Neighbors,0,0,0,0,0,0,12,manhattan,0,0,0,0,0,0.95,0.949,0.936,0.935,0.002
K Nearest Neighbors,0,0,0,0,0,0,12,chebyshev,0,0,0,0,0,0.944,0.943,0.955,0.955,0.00204
K Nearest Neighbors,0,0,0,0,0,0,13,minkowski,0,0,0,0,0,0.942,0.941,0.968,0.968,0.00104
K Nearest Neighbors,0,0,0,0,0,0,13,euclidean,0,0,0,0,0,0.945,0.945,0.968,0.968,0.00099
K Nearest Neighbors,0,0,0,0,0,0,13,manhattan,0,0,0,0,0,0.955,0.954,0.955,0.955,0.002
K Nearest Neighbors,0,0,0,0,0,0,13,chebyshev,0,0,0,0,0,0.944,0.943,0.955,0.955,0.002
K Nearest Neighbors,0,0,0,0,0,0,14,minkowski,0,0,0,0,0,0.947,0.946,0.955,0.954,0.00103
K Nearest Neighbors,0,0,0,0,0,0,14,euclidean,0,0,0,0,0,0.942,0.941,0.962,0.961,0.00196
K Nearest Neighbors,0,0,0,0,0,0,14,manhattan,0,0,0,0,0,0.947,0.946,0.955,0.955,0.001
K Nearest Neighbors,0,0,0,0,0,0,14,chebyshev,0,0,0,0,0,0.94,0.94,0.955,0.955,0.003
K Nearest Neighbors,0,0,0,0,0,0,15,minkowski,0,0,0,0,0,0.947,0.946,0.942,0.941,0.002
K Nearest Neighbors,0,0,0,0,0,0,15,euclidean,0,0,0,0,0,0.965,0.964,0.872,0.869,0.003
K Nearest Neighbors,0,0,0,0,0,0,15,manhattan,0,0,0,0,0,0.953,0.953,0.949,0.948,0.00103
