model,criterion,max_depth,min_samples_split,max_features,learning_rate,n_estimators,n_neighbors,metric,solver,penalty,C,max_iter,kernel,train_accuracy,train_f1,test_accuracy,test_f1,duration
NaiveBayes,0,0,0,0,0,0,0,0,0,0,0,0,0,0.998,0.998,0.999,0.999,0.00599
K Nearest Neighbors,0,0,0,0,0,0,5,minkowski,0,0,0,0,0,1.0,1.0,1.0,1.0,0.05286
K Nearest Neighbors,0,0,0,0,0,0,5,euclidean,0,0,0,0,0,1.0,1.0,1.0,1.0,0.04987
K Nearest Neighbors,0,0,0,0,0,0,5,manhattan,0,0,0,0,0,1.0,1.0,1.0,1.0,0.06582
K Nearest Neighbors,0,0,0,0,0,0,5,chebyshev,0,0,0,0,0,1.0,1.0,1.0,1.0,0.06187
K Nearest Neighbors,0,0,0,0,0,0,6,minkowski,0,0,0,0,0,1.0,1.0,1.0,1.0,0.05386
K Nearest Neighbors,0,0,0,0,0,0,6,euclidean,0,0,0,0,0,1.0,1.0,1.0,1.0,0.06582
K Nearest Neighbors,0,0,0,0,0,0,6,manhattan,0,0,0,0,0,1.0,1.0,1.0,1.0,0.04891
K Nearest Neighbors,0,0,0,0,0,0,6,chebyshev,0,0,0,0,0,1.0,1.0,1.0,1.0,0.05788
K Nearest Neighbors,0,0,0,0,0,0,7,minkowski,0,0,0,0,0,1.0,1.0,1.0,1.0,0.06779
K Nearest Neighbors,0,0,0,0,0,0,7,euclidean,0,0,0,0,0,1.0,1.0,1.0,1.0,0.06087
K Nearest Neighbors,0,0,0,0,0,0,7,manhattan,0,0,0,0,0,1.0,1.0,1.0,1.0,0.04987
K Nearest Neighbors,0,0,0,0,0,0,7,chebyshev,0,0,0,0,0,1.0,1.0,1.0,1.0,0.05389
K Nearest Neighbors,0,0,0,0,0,0,8,minkowski,0,0,0,0,0,1.0,1.0,1.0,1.0,0.04787
K Nearest Neighbors,0,0,0,0,0,0,8,euclidean,0,0,0,0,0,1.0,1.0,1.0,1.0,0.04987
K Nearest Neighbors,0,0,0,0,0,0,8,manhattan,0,0,0,0,0,1.0,1.0,1.0,1.0,0.05386
K Nearest Neighbors,0,0,0,0,0,0,8,chebyshev,0,0,0,0,0,1.0,1.0,1.0,1.0,0.04687
K Nearest Neighbors,0,0,0,0,0,0,9,minkowski,0,0,0,0,0,1.0,1.0,1.0,1.0,0.05386
K Nearest Neighbors,0,0,0,0,0,0,9,euclidean,0,0,0,0,0,1.0,1.0,1.0,1.0,0.06882
K Nearest Neighbors,0,0,0,0,0,0,9,manhattan,0,0,0,0,0,1.0,1.0,1.0,1.0,0.05286
K Nearest Neighbors,0,0,0,0,0,0,9,chebyshev,0,0,0,0,0,1.0,1.0,1.0,1.0,0.05186
K Nearest Neighbors,0,0,0,0,0,0,10,minkowski,0,0,0,0,0,1.0,1.0,1.0,1.0,0.05585
K Nearest Neighbors,0,0,0,0,0,0,10,euclidean,0,0,0,0,0,1.0,1.0,1.0,1.0,0.05984
K Nearest Neighbors,0,0,0,0,0,0,10,manhattan,0,0,0,0,0,1.0,1.0,1.0,1.0,0.04992
K Nearest Neighbors,0,0,0,0,0,0,10,chebyshev,0,0,0,0,0,1.0,1.0,1.0,1.0,0.04987
K Nearest Neighbors,0,0,0,0,0,0,11,minkowski,0,0,0,0,0,1.0,1.0,1.0,1.0,0.05386
K Nearest Neighbors,0,0,0,0,0,0,11,euclidean,0,0,0,0,0,1.0,1.0,1.0,1.0,0.04987
K Nearest Neighbors,0,0,0,0,0,0,11,manhattan,0,0,0,0,0,1.0,1.0,1.0,1.0,0.05286
K Nearest Neighbors,0,0,0,0,0,0,11,chebyshev,0,0,0,0,0,1.0,1.0,0.999,0.999,0.05086
K Nearest Neighbors,0,0,0,0,0,0,12,minkowski,0,0,0,0,0,1.0,1.0,1.0,1.0,0.04388
K Nearest Neighbors,0,0,0,0,0,0,12,euclidean,0,0,0,0,0,1.0,1.0,1.0,1.0,0.05086
K Nearest Neighbors,0,0,0,0,0,0,12,manhattan,0,0,0,0,0,1.0,1.0,1.0,1.0,0.05389
K Nearest Neighbors,0,0,0,0,0,0,12,chebyshev,0,0,0,0,0,1.0,1.0,1.0,1.0,0.0499
K Nearest Neighbors,0,0,0,0,0,0,13,minkowski,0,0,0,0,0,1.0,1.0,1.0,1.0,0.05485
K Nearest Neighbors,0,0,0,0,0,0,13,euclidean,0,0,0,0,0,1.0,1.0,1.0,1.0,0.05286
K Nearest Neighbors,0,0,0,0,0,0,13,manhattan,0,0,0,0,0,1.0,1.0,1.0,1.0,0.04687
K Nearest Neighbors,0,0,0,0,0,0,13,chebyshev,0,0,0,0,0,1.0,1.0,0.999,0.999,0.04691
K Nearest Neighbors,0,0,0,0,0,0,14,minkowski,0,0,0,0,0,1.0,1.0,1.0,1.0,0.04887
K Nearest Neighbors,0,0,0,0,0,0,14,euclidean,0,0,0,0,0,1.0,1.0,1.0,1.0,0.04987
K Nearest Neighbors,0,0,0,0,0,0,14,manhattan,0,0,0,0,0,1.0,1.0,1.0,1.0,0.05186
K Nearest Neighbors,0,0,0,0,0,0,14,chebyshev,0,0,0,0,0,1.0,1.0,0.999,0.999,0.04887
K Nearest Neighbors,0,0,0,0,0,0,15,minkowski,0,0,0,0,0,1.0,1.0,1.0,1.0,0.04887
K Nearest Neighbors,0,0,0,0,0,0,15,euclidean,0,0,0,0,0,1.0,1.0,1.0,1.0,0.04588
K Nearest Neighbors,0,0,0,0,0,0,15,manhattan,0,0,0,0,0,1.0,1.0,1.0,1.0,0.04987
K Nearest Neighbors,0,0,0,0,0,0,15,chebyshev,0,0,0,0,0,1.0,1.0,0.999,0.999,0.04687
K Nearest Neighbors,0,0,0,0,0,0,16,minkowski,0,0,0,0,0,1.0,1.0,1.0,1.0,0.05685
K Nearest Neighbors,0,0,0,0,0,0,16,euclidean,0,0,0,0,0,1.0,1.0,1.0,1.0,0.04687
K Nearest Neighbors,0,0,0,0,0,0,16,manhattan,0,0,0,0,0,1.0,1.0,1.0,1.0,0.05489
K Nearest Neighbors,0,0,0,0,0,0,16,chebyshev,0,0,0,0,0,1.0,1.0,1.0,1.0,0.04391
K Nearest Neighbors,0,0,0,0,0,0,17,minkowski,0,0,0,0,0,1.0,1.0,1.0,1.0,0.05485
K Nearest Neighbors,0,0,0,0,0,0,17,euclidean,0,0,0,0,0,1.0,1.0,0.999,0.999,0.04787
K Nearest Neighbors,0,0,0,0,0,0,17,manhattan,0,0,0,0,0,1.0,1.0,1.0,1.0,0.04887
K Nearest Neighbors,0,0,0,0,0,0,17,chebyshev,0,0,0,0,0,1.0,1.0,0.999,0.999,0.04584
K Nearest Neighbors,0,0,0,0,0,0,18,minkowski,0,0,0,0,0,1.0,1.0,1.0,1.0,0.03886
K Nearest Neighbors,0,0,0,0,0,0,18,euclidean,0,0,0,0,0,0.999,0.999,0.997,0.997,0.04388
K Nearest Neighbors,0,0,0,0,0,0,18,manhattan,0,0,0,0,0,1.0,1.0,1.0,1.0,0.06882
K Nearest Neighbors,0,0,0,0,0,0,18,chebyshev,0,0,0,0,0,1.0,1.0,1.0,1.0,0.05286
K Nearest Neighbors,0,0,0,0,0,0,19,minkowski,0,0,0,0,0,1.0,1.0,1.0,1.0,0.05286
K Nearest Neighbors,0,0,0,0,0,0,19,euclidean,0,0,0,0,0,1.0,1.0,1.0,1.0,0.05288
K Nearest Neighbors,0,0,0,0,0,0,19,manhattan,0,0,0,0,0,1.0,1.0,1.0,1.0,0.04688
K Nearest Neighbors,0,0,0,0,0,0,19,chebyshev,0,0,0,0,0,1.0,1.0,1.0,1.0,0.04588
K Nearest Neighbors,0,0,0,0,0,0,20,minkowski,0,0,0,0,0,1.0,1.0,1.0,1.0,0.04388
K Nearest Neighbors,0,0,0,0,0,0,20,euclidean,0,0,0,0,0,1.0,1.0,1.0,1.0,0.05585
K Nearest Neighbors,0,0,0,0,0,0,20,manhattan,0,0,0,0,0,1.0,1.0,1.0,1.0,0.04591
K Nearest Neighbors,0,0,0,0,0,0,20,chebyshev,0,0,0,0,0,0.999,0.999,0.999,0.999,0.04787
SVC,0,0,0,0,0,0,0,0,0,0,0.1,0,rbf,0.998,0.998,0.999,0.999,0.19646
SVC,0,0,0,0,0,0,0,0,0,0,0.1,0,poly,0.976,0.976,0.977,0.977,0.26332
SVC,0,0,0,0,0,0,0,0,0,0,0.1,0,sigmoid,0.998,0.998,0.999,0.999,0.30024
SVC,0,0,0,0,0,0,0,0,0,0,0.1,0,linear,1.0,1.0,1.0,1.0,0.21247
SVC,0,0,0,0,0,0,0,0,0,0,0.2,0,rbf,0.998,0.998,0.998,0.998,0.12367
SVC,0,0,0,0,0,0,0,0,0,0,0.2,0,poly,0.979,0.979,0.981,0.981,0.24132
SVC,0,0,0,0,0,0,0,0,0,0,0.2,0,sigmoid,0.998,0.998,0.999,0.999,0.21243
SVC,0,0,0,0,0,0,0,0,0,0,0.2,0,linear,1.0,1.0,1.0,1.0,0.15362
SVC,0,0,0,0,0,0,0,0,0,0,0.3,0,rbf,1.0,1.0,1.0,1.0,0.10169
SVC,0,0,0,0,0,0,0,0,0,0,0.3,0,poly,0.981,0.981,0.984,0.984,0.35705
SVC,0,0,0,0,0,0,0,0,0,0,0.3,0,sigmoid,0.997,0.997,0.999,0.999,0.16955
SVC,0,0,0,0,0,0,0,0,0,0,0.3,0,linear,1.0,1.0,1.0,1.0,0.13464
SVC,0,0,0,0,0,0,0,0,0,0,0.4,0,rbf,1.0,1.0,1.0,1.0,0.09375
SVC,0,0,0,0,0,0,0,0,0,0,0.4,0,poly,0.984,0.984,0.985,0.985,0.19152
SVC,0,0,0,0,0,0,0,0,0,0,0.4,0,sigmoid,0.999,0.999,0.997,0.997,0.08377
SVC,0,0,0,0,0,0,0,0,0,0,0.4,0,linear,1.0,1.0,1.0,1.0,0.1107
SVC,0,0,0,0,0,0,0,0,0,0,0.5,0,rbf,1.0,1.0,1.0,1.0,0.07982
SVC,0,0,0,0,0,0,0,0,0,0,0.5,0,poly,0.989,0.989,0.99,0.99,0.19452
SVC,0,0,0,0,0,0,0,0,0,0,0.5,0,sigmoid,0.998,0.998,0.996,0.996,0.11968
SVC,0,0,0,0,0,0,0,0,0,0,0.5,0,linear,1.0,1.0,1.0,1.0,0.09774
SVC,0,0,0,0,0,0,0,0,0,0,0.6,0,rbf,1.0,1.0,1.0,1.0,0.07683
SVC,0,0,0,0,0,0,0,0,0,0,0.6,0,poly,0.992,0.992,0.995,0.995,0.1875
SVC,0,0,0,0,0,0,0,0,0,0,0.6,0,sigmoid,0.998,0.998,0.997,0.997,0.09279
SVC,0,0,0,0,0,0,0,0,0,0,0.6,0,linear,1.0,1.0,1.0,1.0,0.08279
SVC,0,0,0,0,0,0,0,0,0,0,0.7,0,rbf,1.0,1.0,1.0,1.0,0.06682
SVC,0,0,0,0,0,0,0,0,0,0,0.7,0,poly,0.992,0.992,0.993,0.993,0.19747
