model,criterion,max_depth,min_samples_split,max_features,learning_rate,n_estimators,n_neighbors,metric,solver,penalty,C,max_iter,kernel,train_accuracy,train_f1,test_accuracy,test_f1,duration
NaiveBayes,0,0,0,0,0,0,0,0,0,0,0,0,0,0.749,0.698,0.787,0.771,0.00558
K Nearest Neighbors,0,0,0,0,0,0,5,minkowski,0,0,0,0,0,0.826,0.812,0.753,0.746,0.01008
K Nearest Neighbors,0,0,0,0,0,0,5,euclidean,0,0,0,0,0,0.818,0.804,0.747,0.738,0.00304
K Nearest Neighbors,0,0,0,0,0,0,5,manhattan,0,0,0,0,0,0.831,0.82,0.767,0.741,0.002
K Nearest Neighbors,0,0,0,0,0,0,5,chebyshev,0,0,0,0,0,0.834,0.823,0.707,0.682,0.003
K Nearest Neighbors,0,0,0,0,0,0,6,minkowski,0,0,0,0,0,0.819,0.792,0.78,0.731,0.002
K Nearest Neighbors,0,0,0,0,0,0,6,euclidean,0,0,0,0,0,0.803,0.765,0.767,0.74,0.00251
K Nearest Neighbors,0,0,0,0,0,0,6,manhattan,0,0,0,0,0,0.808,0.781,0.833,0.808,0.002
K Nearest Neighbors,0,0,0,0,0,0,6,chebyshev,0,0,0,0,0,0.811,0.782,0.713,0.679,0.001
K Nearest Neighbors,0,0,0,0,0,0,7,minkowski,0,0,0,0,0,0.823,0.804,0.787,0.759,0.00251
K Nearest Neighbors,0,0,0,0,0,0,7,euclidean,0,0,0,0,0,0.808,0.787,0.767,0.75,0.001
K Nearest Neighbors,0,0,0,0,0,0,7,manhattan,0,0,0,0,0,0.818,0.797,0.773,0.742,0.002
K Nearest Neighbors,0,0,0,0,0,0,7,chebyshev,0,0,0,0,0,0.816,0.802,0.773,0.771,0.002
K Nearest Neighbors,0,0,0,0,0,0,8,minkowski,0,0,0,0,0,0.814,0.787,0.76,0.732,0.001
K Nearest Neighbors,0,0,0,0,0,0,8,euclidean,0,0,0,0,0,0.799,0.771,0.813,0.765,0.00201
K Nearest Neighbors,0,0,0,0,0,0,8,manhattan,0,0,0,0,0,0.823,0.792,0.76,0.706,0.00201
K Nearest Neighbors,0,0,0,0,0,0,8,chebyshev,0,0,0,0,0,0.799,0.764,0.787,0.746,0.001
K Nearest Neighbors,0,0,0,0,0,0,9,minkowski,0,0,0,0,0,0.788,0.765,0.8,0.79,0.002
K Nearest Neighbors,0,0,0,0,0,0,9,euclidean,0,0,0,0,0,0.794,0.771,0.827,0.808,0.001
K Nearest Neighbors,0,0,0,0,0,0,9,manhattan,0,0,0,0,0,0.799,0.781,0.807,0.779,0.00203
K Nearest Neighbors,0,0,0,0,0,0,9,chebyshev,0,0,0,0,0,0.806,0.782,0.74,0.702,0.001
K Nearest Neighbors,0,0,0,0,0,0,10,minkowski,0,0,0,0,0,0.803,0.769,0.793,0.761,0.001
K Nearest Neighbors,0,0,0,0,0,0,10,euclidean,0,0,0,0,0,0.794,0.756,0.74,0.683,0.00151
K Nearest Neighbors,0,0,0,0,0,0,10,manhattan,0,0,0,0,0,0.813,0.787,0.76,0.719,0.001
K Nearest Neighbors,0,0,0,0,0,0,10,chebyshev,0,0,0,0,0,0.809,0.775,0.74,0.68,0.001
K Nearest Neighbors,0,0,0,0,0,0,11,minkowski,0,0,0,0,0,0.796,0.771,0.773,0.731,0.002
K Nearest Neighbors,0,0,0,0,0,0,11,euclidean,0,0,0,0,0,0.794,0.77,0.82,0.787,0.00251
K Nearest Neighbors,0,0,0,0,0,0,11,manhattan,0,0,0,0,0,0.818,0.797,0.727,0.684,0.001
K Nearest Neighbors,0,0,0,0,0,0,11,chebyshev,0,0,0,0,0,0.799,0.778,0.82,0.805,0.002
K Nearest Neighbors,0,0,0,0,0,0,12,minkowski,0,0,0,0,0,0.788,0.756,0.8,0.768,0.00201
K Nearest Neighbors,0,0,0,0,0,0,12,euclidean,0,0,0,0,0,0.798,0.761,0.773,0.737,0.002
K Nearest Neighbors,0,0,0,0,0,0,12,manhattan,0,0,0,0,0,0.789,0.754,0.84,0.817,0.001
K Nearest Neighbors,0,0,0,0,0,0,12,chebyshev,0,0,0,0,0,0.799,0.763,0.747,0.687,0.001
K Nearest Neighbors,0,0,0,0,0,0,13,minkowski,0,0,0,0,0,0.816,0.793,0.727,0.705,0.002
K Nearest Neighbors,0,0,0,0,0,0,13,euclidean,0,0,0,0,0,0.808,0.785,0.753,0.709,0.002
K Nearest Neighbors,0,0,0,0,0,0,13,manhattan,0,0,0,0,0,0.783,0.755,0.82,0.802,0.001
K Nearest Neighbors,0,0,0,0,0,0,13,chebyshev,0,0,0,0,0,0.814,0.795,0.72,0.683,0.002
K Nearest Neighbors,0,0,0,0,0,0,14,minkowski,0,0,0,0,0,0.798,0.766,0.767,0.728,0.002
K Nearest Neighbors,0,0,0,0,0,0,14,euclidean,0,0,0,0,0,0.801,0.771,0.747,0.703,0.00201
K Nearest Neighbors,0,0,0,0,0,0,14,manhattan,0,0,0,0,0,0.794,0.756,0.807,0.782,0.001
K Nearest Neighbors,0,0,0,0,0,0,14,chebyshev,0,0,0,0,0,0.809,0.775,0.78,0.736,0.002
K Nearest Neighbors,0,0,0,0,0,0,15,minkowski,0,0,0,0,0,0.796,0.765,0.773,0.727,0.001
K Nearest Neighbors,0,0,0,0,0,0,15,euclidean,0,0,0,0,0,0.803,0.774,0.787,0.745,0.00201
K Nearest Neighbors,0,0,0,0,0,0,15,manhattan,0,0,0,0,0,0.821,0.8,0.727,0.692,0.001
K Nearest Neighbors,0,0,0,0,0,0,15,chebyshev,0,0,0,0,0,0.798,0.772,0.8,0.77,0.001
K Nearest Neighbors,0,0,0,0,0,0,16,minkowski,0,0,0,0,0,0.806,0.767,0.72,0.667,0.002
K Nearest Neighbors,0,0,0,0,0,0,16,euclidean,0,0,0,0,0,0.776,0.73,0.813,0.772,0.00101
K Nearest Neighbors,0,0,0,0,0,0,16,manhattan,0,0,0,0,0,0.791,0.751,0.813,0.784,0.002
K Nearest Neighbors,0,0,0,0,0,0,16,chebyshev,0,0,0,0,0,0.779,0.725,0.773,0.697,0.002
K Nearest Neighbors,0,0,0,0,0,0,17,minkowski,0,0,0,0,0,0.791,0.767,0.827,0.811,0.002
K Nearest Neighbors,0,0,0,0,0,0,17,euclidean,0,0,0,0,0,0.804,0.781,0.8,0.786,0.00251
K Nearest Neighbors,0,0,0,0,0,0,17,manhattan,0,0,0,0,0,0.796,0.769,0.793,0.751,0.001
K Nearest Neighbors,0,0,0,0,0,0,17,chebyshev,0,0,0,0,0,0.808,0.784,0.8,0.768,0.001
K Nearest Neighbors,0,0,0,0,0,0,18,minkowski,0,0,0,0,0,0.789,0.76,0.82,0.798,0.00201
K Nearest Neighbors,0,0,0,0,0,0,18,euclidean,0,0,0,0,0,0.796,0.762,0.853,0.835,0.002
K Nearest Neighbors,0,0,0,0,0,0,18,manhattan,0,0,0,0,0,0.786,0.748,0.773,0.727,0.001
K Nearest Neighbors,0,0,0,0,0,0,18,chebyshev,0,0,0,0,0,0.803,0.763,0.747,0.701,0.001
K Nearest Neighbors,0,0,0,0,0,0,19,minkowski,0,0,0,0,0,0.808,0.783,0.793,0.788,0.002
K Nearest Neighbors,0,0,0,0,0,0,19,euclidean,0,0,0,0,0,0.809,0.782,0.773,0.732,0.002
K Nearest Neighbors,0,0,0,0,0,0,19,manhattan,0,0,0,0,0,0.793,0.761,0.807,0.787,0.00251
K Nearest Neighbors,0,0,0,0,0,0,19,chebyshev,0,0,0,0,0,0.796,0.771,0.787,0.728,0.001
K Nearest Neighbors,0,0,0,0,0,0,20,minkowski,0,0,0,0,0,0.801,0.767,0.827,0.804,0.001
K Nearest Neighbors,0,0,0,0,0,0,20,euclidean,0,0,0,0,0,0.794,0.766,0.82,0.79,0.002
K Nearest Neighbors,0,0,0,0,0,0,20,manhattan,0,0,0,0,0,0.809,0.776,0.707,0.637,0.00193
K Nearest Neighbors,0,0,0,0,0,0,20,chebyshev,0,0,0,0,0,0.796,0.757,0.8,0.762,0.001
SVC,0,0,0,0,0,0,0,0,0,0,0.1,0,rbf,0.776,0.678,0.707,0.585,0.01051
SVC,0,0,0,0,0,0,0,0,0,0,0.1,0,poly,0.758,0.661,0.807,0.727,0.04499
SVC,0,0,0,0,0,0,0,0,0,0,0.1,0,sigmoid,0.744,0.681,0.693,0.61,0.00751
SVC,0,0,0,0,0,0,0,0,0,0,0.1,0,linear,0.756,0.651,0.787,0.693,0.004
SVC,0,0,0,0,0,0,0,0,0,0,0.2,0,rbf,0.769,0.669,0.733,0.621,0.00851
SVC,0,0,0,0,0,0,0,0,0,0,0.2,0,poly,0.774,0.682,0.747,0.656,0.05456
SVC,0,0,0,0,0,0,0,0,0,0,0.2,0,sigmoid,0.739,0.712,0.767,0.743,0.00778
SVC,0,0,0,0,0,0,0,0,0,0,0.2,0,linear,0.763,0.66,0.76,0.656,0.005
SVC,0,0,0,0,0,0,0,0,0,0,0.3,0,rbf,0.759,0.655,0.773,0.674,0.00751
SVC,0,0,0,0,0,0,0,0,0,0,0.3,0,poly,0.763,0.669,0.787,0.693,0.07606
SVC,0,0,0,0,0,0,0,0,0,0,0.3,0,sigmoid,0.732,0.706,0.747,0.742,0.00751
SVC,0,0,0,0,0,0,0,0,0,0,0.3,0,linear,0.768,0.667,0.74,0.629,0.005
SVC,0,0,0,0,0,0,0,0,0,0,0.4,0,rbf,0.781,0.698,0.74,0.636,0.00751
SVC,0,0,0,0,0,0,0,0,0,0,0.4,0,poly,0.766,0.671,0.767,0.672,0.14056
SVC,0,0,0,0,0,0,0,0,0,0,0.4,0,sigmoid,0.605,0.602,0.713,0.72,0.007
SVC,0,0,0,0,0,0,0,0,0,0,0.4,0,linear,0.761,0.658,0.767,0.665,0.00521
SVC,0,0,0,0,0,0,0,0,0,0,0.5,0,rbf,0.769,0.68,0.773,0.681,0.01001
SVC,0,0,0,0,0,0,0,0,0,0,0.5,0,poly,0.753,0.653,0.827,0.76,0.11537
SVC,0,0,0,0,0,0,0,0,0,0,0.5,0,sigmoid,0.724,0.711,0.693,0.676,0.00654
SVC,0,0,0,0,0,0,0,0,0,0,0.5,0,linear,0.756,0.651,0.787,0.693,0.006
SVC,0,0,0,0,0,0,0,0,0,0,0.6,0,rbf,0.771,0.686,0.793,0.714,0.00751
SVC,0,0,0,0,0,0,0,0,0,0,0.6,0,poly,0.761,0.665,0.793,0.708,0.14472
SVC,0,0,0,0,0,0,0,0,0,0,0.6,0,sigmoid,0.684,0.676,0.773,0.771,0.00659
SVC,0,0,0,0,0,0,0,0,0,0,0.6,0,linear,0.764,0.662,0.753,0.647,0.00501
SVC,0,0,0,0,0,0,0,0,0,0,0.7,0,rbf,0.771,0.692,0.767,0.692,0.00851
SVC,0,0,0,0,0,0,0,0,0,0,0.7,0,poly,0.766,0.672,0.773,0.681,0.23072
SVC,0,0,0,0,0,0,0,0,0,0,0.7,0,sigmoid,0.694,0.689,0.7,0.728,0.0055
SVC,0,0,0,0,0,0,0,0,0,0,0.7,0,linear,0.747,0.639,0.82,0.739,0.00451
SVC,0,0,0,0,0,0,0,0,0,0,0.8,0,rbf,0.773,0.693,0.793,0.719,0.00951
SVC,0,0,0,0,0,0,0,0,0,0,0.8,0,poly,0.769,0.677,0.76,0.663,0.14364
SVC,0,0,0,0,0,0,0,0,0,0,0.8,0,sigmoid,0.639,0.637,0.6,0.588,0.00601
SVC,0,0,0,0,0,0,0,0,0,0,0.8,0,linear,0.749,0.642,0.813,0.73,0.004
SVC,0,0,0,0,0,0,0,0,0,0,0.9,0,rbf,0.774,0.704,0.76,0.706,0.00851
SVC,0,0,0,0,0,0,0,0,0,0,0.9,0,poly,0.761,0.661,0.787,0.71,0.19719
SVC,0,0,0,0,0,0,0,0,0,0,0.9,0,sigmoid,0.731,0.721,0.627,0.616,0.00559
SVC,0,0,0,0,0,0,0,0,0,0,0.9,0,linear,0.769,0.669,0.733,0.621,0.00598
SVC,0,0,0,0,0,0,0,0,0,0,1.0,0,rbf,0.779,0.71,0.747,0.675,0.00751
SVC,0,0,0,0,0,0,0,0,0,0,1.0,0,poly,0.769,0.68,0.78,0.695,0.13152
SVC,0,0,0,0,0,0,0,0,0,0,1.0,0,sigmoid,0.684,0.68,0.72,0.722,0.006
SVC,0,0,0,0,0,0,0,0,0,0,1.0,0,linear,0.764,0.662,0.753,0.647,0.00622
SVC,0,0,0,0,0,0,0,0,0,0,1.1,0,rbf,0.769,0.7,0.773,0.715,0.00953
SVC,0,0,0,0,0,0,0,0,0,0,1.1,0,poly,0.756,0.66,0.813,0.73,0.31948
SVC,0,0,0,0,0,0,0,0,0,0,1.1,0,sigmoid,0.677,0.675,0.76,0.756,0.00651
SVC,0,0,0,0,0,0,0,0,0,0,1.1,0,linear,0.747,0.639,0.82,0.739,0.0055
SVC,0,0,0,0,0,0,0,0,0,0,1.2,0,rbf,0.786,0.724,0.753,0.701,0.00798
SVC,0,0,0,0,0,0,0,0,0,0,1.2,0,poly,0.771,0.674,0.747,0.656,0.37408
SVC,0,0,0,0,0,0,0,0,0,0,1.2,0,sigmoid,0.63,0.63,0.613,0.602,0.00651
SVC,0,0,0,0,0,0,0,0,0,0,1.2,0,linear,0.753,0.646,0.8,0.711,0.00556
SVC,0,0,0,0,0,0,0,0,0,0,1.3,0,rbf,0.799,0.746,0.733,0.657,0.00852
