model,criterion,max_depth,min_samples_split,max_features,learning_rate,n_estimators,n_neighbors,metric,solver,penalty,C,max_iter,kernel,train_accuracy,train_f1,test_accuracy,test_f1,duration
NaiveBayes,0,0,0,0,0,0,0,0,0,0,0,0,0,0.641,0.643,0.651,0.653,0.00499
K Nearest Neighbors,0,0,0,0,0,0,5,minkowski,0,0,0,0,0,0.858,0.857,0.788,0.784,0.00698
K Nearest Neighbors,0,0,0,0,0,0,5,euclidean,0,0,0,0,0,0.871,0.871,0.768,0.771,0.00598
K Nearest Neighbors,0,0,0,0,0,0,5,manhattan,0,0,0,0,0,0.864,0.864,0.726,0.731,0.00499
K Nearest Neighbors,0,0,0,0,0,0,5,chebyshev,0,0,0,0,0,0.867,0.87,0.788,0.789,0.00698
K Nearest Neighbors,0,0,0,0,0,0,6,minkowski,0,0,0,0,0,0.851,0.851,0.801,0.8,0.00698
K Nearest Neighbors,0,0,0,0,0,0,6,euclidean,0,0,0,0,0,0.845,0.847,0.784,0.786,0.00598
K Nearest Neighbors,0,0,0,0,0,0,6,manhattan,0,0,0,0,0,0.865,0.863,0.793,0.787,0.00598
K Nearest Neighbors,0,0,0,0,0,0,6,chebyshev,0,0,0,0,0,0.863,0.863,0.776,0.769,0.00399
K Nearest Neighbors,0,0,0,0,0,0,7,minkowski,0,0,0,0,0,0.837,0.836,0.809,0.809,0.00399
K Nearest Neighbors,0,0,0,0,0,0,7,euclidean,0,0,0,0,0,0.834,0.833,0.768,0.769,0.00698
K Nearest Neighbors,0,0,0,0,0,0,7,manhattan,0,0,0,0,0,0.81,0.811,0.772,0.775,0.00598
K Nearest Neighbors,0,0,0,0,0,0,7,chebyshev,0,0,0,0,0,0.839,0.838,0.822,0.82,0.00399
K Nearest Neighbors,0,0,0,0,0,0,8,minkowski,0,0,0,0,0,0.826,0.824,0.788,0.786,0.00499
K Nearest Neighbors,0,0,0,0,0,0,8,euclidean,0,0,0,0,0,0.817,0.816,0.797,0.796,0.00499
K Nearest Neighbors,0,0,0,0,0,0,8,manhattan,0,0,0,0,0,0.818,0.82,0.705,0.711,0.00399
K Nearest Neighbors,0,0,0,0,0,0,8,chebyshev,0,0,0,0,0,0.833,0.833,0.763,0.76,0.00399
K Nearest Neighbors,0,0,0,0,0,0,9,minkowski,0,0,0,0,0,0.806,0.804,0.797,0.793,0.00698
K Nearest Neighbors,0,0,0,0,0,0,9,euclidean,0,0,0,0,0,0.81,0.807,0.776,0.774,0.00399
K Nearest Neighbors,0,0,0,0,0,0,9,manhattan,0,0,0,0,0,0.831,0.826,0.793,0.782,0.00698
K Nearest Neighbors,0,0,0,0,0,0,9,chebyshev,0,0,0,0,0,0.855,0.854,0.813,0.813,0.00399
K Nearest Neighbors,0,0,0,0,0,0,10,minkowski,0,0,0,0,0,0.804,0.802,0.801,0.8,0.00499
K Nearest Neighbors,0,0,0,0,0,0,10,euclidean,0,0,0,0,0,0.796,0.794,0.776,0.776,0.00598
K Nearest Neighbors,0,0,0,0,0,0,10,manhattan,0,0,0,0,0,0.797,0.794,0.722,0.719,0.00499
K Nearest Neighbors,0,0,0,0,0,0,10,chebyshev,0,0,0,0,0,0.83,0.828,0.788,0.788,0.00499
K Nearest Neighbors,0,0,0,0,0,0,11,minkowski,0,0,0,0,0,0.795,0.792,0.772,0.771,0.00399
K Nearest Neighbors,0,0,0,0,0,0,11,euclidean,0,0,0,0,0,0.793,0.79,0.739,0.736,0.00499
K Nearest Neighbors,0,0,0,0,0,0,11,manhattan,0,0,0,0,0,0.788,0.784,0.747,0.744,0.00698
K Nearest Neighbors,0,0,0,0,0,0,11,chebyshev,0,0,0,0,0,0.811,0.81,0.78,0.774,0.00798
K Nearest Neighbors,0,0,0,0,0,0,12,minkowski,0,0,0,0,0,0.769,0.765,0.751,0.741,0.00499
K Nearest Neighbors,0,0,0,0,0,0,12,euclidean,0,0,0,0,0,0.807,0.806,0.701,0.697,0.00499
K Nearest Neighbors,0,0,0,0,0,0,12,manhattan,0,0,0,0,0,0.786,0.783,0.747,0.741,0.00499
K Nearest Neighbors,0,0,0,0,0,0,12,chebyshev,0,0,0,0,0,0.801,0.796,0.718,0.706,0.00499
K Nearest Neighbors,0,0,0,0,0,0,13,minkowski,0,0,0,0,0,0.784,0.78,0.68,0.674,0.00598
K Nearest Neighbors,0,0,0,0,0,0,13,euclidean,0,0,0,0,0,0.763,0.757,0.739,0.727,0.00399
K Nearest Neighbors,0,0,0,0,0,0,13,manhattan,0,0,0,0,0,0.782,0.778,0.772,0.763,0.00598
K Nearest Neighbors,0,0,0,0,0,0,13,chebyshev,0,0,0,0,0,0.811,0.807,0.759,0.757,0.00698
K Nearest Neighbors,0,0,0,0,0,0,14,minkowski,0,0,0,0,0,0.78,0.776,0.747,0.745,0.00698
K Nearest Neighbors,0,0,0,0,0,0,14,euclidean,0,0,0,0,0,0.752,0.747,0.763,0.762,0.00798
K Nearest Neighbors,0,0,0,0,0,0,14,manhattan,0,0,0,0,0,0.767,0.763,0.739,0.735,0.00598
K Nearest Neighbors,0,0,0,0,0,0,14,chebyshev,0,0,0,0,0,0.787,0.784,0.755,0.755,0.00499
K Nearest Neighbors,0,0,0,0,0,0,15,minkowski,0,0,0,0,0,0.788,0.781,0.734,0.725,0.00499
K Nearest Neighbors,0,0,0,0,0,0,15,euclidean,0,0,0,0,0,0.751,0.749,0.71,0.698,0.00399
K Nearest Neighbors,0,0,0,0,0,0,15,manhattan,0,0,0,0,0,0.758,0.756,0.718,0.708,0.00499
K Nearest Neighbors,0,0,0,0,0,0,15,chebyshev,0,0,0,0,0,0.803,0.801,0.73,0.706,0.00399
K Nearest Neighbors,0,0,0,0,0,0,16,minkowski,0,0,0,0,0,0.747,0.742,0.701,0.693,0.00499
K Nearest Neighbors,0,0,0,0,0,0,16,euclidean,0,0,0,0,0,0.751,0.743,0.689,0.678,0.00399
K Nearest Neighbors,0,0,0,0,0,0,16,manhattan,0,0,0,0,0,0.738,0.733,0.747,0.734,0.00499
K Nearest Neighbors,0,0,0,0,0,0,16,chebyshev,0,0,0,0,0,0.781,0.778,0.714,0.71,0.00499
K Nearest Neighbors,0,0,0,0,0,0,17,minkowski,0,0,0,0,0,0.741,0.73,0.714,0.696,0.00499
K Nearest Neighbors,0,0,0,0,0,0,17,euclidean,0,0,0,0,0,0.732,0.725,0.759,0.749,0.00499
K Nearest Neighbors,0,0,0,0,0,0,17,manhattan,0,0,0,0,0,0.752,0.745,0.705,0.691,0.00399
K Nearest Neighbors,0,0,0,0,0,0,17,chebyshev,0,0,0,0,0,0.747,0.734,0.697,0.689,0.00402
K Nearest Neighbors,0,0,0,0,0,0,18,minkowski,0,0,0,0,0,0.724,0.71,0.705,0.7,0.00403
K Nearest Neighbors,0,0,0,0,0,0,18,euclidean,0,0,0,0,0,0.755,0.745,0.672,0.641,0.00499
K Nearest Neighbors,0,0,0,0,0,0,18,manhattan,0,0,0,0,0,0.761,0.754,0.73,0.724,0.00499
K Nearest Neighbors,0,0,0,0,0,0,18,chebyshev,0,0,0,0,0,0.75,0.743,0.697,0.682,0.00499
K Nearest Neighbors,0,0,0,0,0,0,19,minkowski,0,0,0,0,0,0.727,0.718,0.685,0.67,0.00499
K Nearest Neighbors,0,0,0,0,0,0,19,euclidean,0,0,0,0,0,0.737,0.728,0.643,0.632,0.01197
K Nearest Neighbors,0,0,0,0,0,0,19,manhattan,0,0,0,0,0,0.725,0.717,0.693,0.683,0.00499
K Nearest Neighbors,0,0,0,0,0,0,19,chebyshev,0,0,0,0,0,0.745,0.727,0.685,0.664,0.00801
K Nearest Neighbors,0,0,0,0,0,0,20,minkowski,0,0,0,0,0,0.74,0.728,0.689,0.659,0.00698
K Nearest Neighbors,0,0,0,0,0,0,20,euclidean,0,0,0,0,0,0.722,0.713,0.697,0.684,0.00499
K Nearest Neighbors,0,0,0,0,0,0,20,manhattan,0,0,0,0,0,0.757,0.75,0.685,0.67,0.00499
K Nearest Neighbors,0,0,0,0,0,0,20,chebyshev,0,0,0,0,0,0.729,0.715,0.651,0.626,0.00498
SVC,0,0,0,0,0,0,0,0,0,0,0.1,0,rbf,0.678,0.637,0.656,0.615,0.04987
SVC,0,0,0,0,0,0,0,0,0,0,0.1,0,poly,0.769,0.76,0.722,0.714,0.0369
SVC,0,0,0,0,0,0,0,0,0,0,0.1,0,sigmoid,0.533,0.459,0.602,0.534,0.09076
SVC,0,0,0,0,0,0,0,0,0,0,0.1,0,linear,0.646,0.613,0.656,0.628,0.03291
SVC,0,0,0,0,0,0,0,0,0,0,0.2,0,rbf,0.751,0.727,0.739,0.715,0.05386
SVC,0,0,0,0,0,0,0,0,0,0,0.2,0,poly,0.794,0.789,0.759,0.75,0.0369
SVC,0,0,0,0,0,0,0,0,0,0,0.2,0,sigmoid,0.471,0.446,0.432,0.4,0.07979
SVC,0,0,0,0,0,0,0,0,0,0,0.2,0,linear,0.676,0.657,0.722,0.704,0.03092
SVC,0,0,0,0,0,0,0,0,0,0,0.3,0,rbf,0.762,0.752,0.743,0.73,0.05286
SVC,0,0,0,0,0,0,0,0,0,0,0.3,0,poly,0.824,0.821,0.747,0.741,0.03491
SVC,0,0,0,0,0,0,0,0,0,0,0.3,0,sigmoid,0.401,0.383,0.407,0.396,0.06482
SVC,0,0,0,0,0,0,0,0,0,0,0.3,0,linear,0.702,0.698,0.689,0.681,0.0359
SVC,0,0,0,0,0,0,0,0,0,0,0.4,0,rbf,0.758,0.75,0.734,0.728,0.05286
SVC,0,0,0,0,0,0,0,0,0,0,0.4,0,poly,0.814,0.81,0.759,0.756,0.0369
SVC,0,0,0,0,0,0,0,0,0,0,0.4,0,sigmoid,0.428,0.412,0.34,0.314,0.0748
SVC,0,0,0,0,0,0,0,0,0,0,0.4,0,linear,0.706,0.698,0.722,0.714,0.02992
SVC,0,0,0,0,0,0,0,0,0,0,0.5,0,rbf,0.78,0.774,0.743,0.731,0.04488
